,Page_Link,Page_Address,Price,Price_Change,Sys_Date
152,http://www.har.com/1135-w-30th-st/sale_5337784,"1135 W 30th St, Houston, TX 77018",275000,price-reduction,06/04/2017
153,http://www.har.com/3702-kennon-st/sale_84735504,"3702 Kennon St, Houston, TX 77009",279000,None,06/04/2017
154,http://www.har.com/2508-everett/sale_12566995,"2508 Everett, Houston, TX 77009",279000,price-reduction,06/04/2017
155,http://www.har.com/431-lindale-st/sale_35975234,"431 Lindale St, HOUSTON, TX 77022",279900,None,06/04/2017
156,http://www.har.com/205-cottage-st/sale_19400444,"205 Cottage St, Houston, TX 77009",279900,price-reduction,06/04/2017
157,http://www.har.com/505-jackson-hill-st-309/sale_6800646,"505 Jackson Hill St #309, Houston, TX 77007",279900,price-reduction,06/04/2017
158,http://www.har.com/3820-center-plaza-dr/sale_61203324,"3820 Center Plaza Dr, Houston, TX 77007",280000,None,06/04/2017
159,http://www.har.com/2110-althea-dr/sale_48994325,"2110 Althea Dr, Houston, TX 77018",280000,None,06/04/2017
160,http://www.har.com/650-westcross-st-51/sale_43802331,"650 Westcross St #51, Houston, TX 77018",280000,None,06/04/2017
161,http://www.har.com/4246-t-c-jester-boulevard/sale_70124480,"4246 T C Jester Boulevard, Houston, TX 77018",280000,None,06/04/2017
162,http://www.har.com/1501-ennis-st/sale_19692553,"1501 Ennis St, Houston, TX 77003",280000,None,06/04/2017
163,http://www.har.com/2922-baer-st/sale_96356647,"2922 Baer St, Houston, TX 77020",285000,None,06/04/2017
164,http://www.har.com/216-burr-st/sale_14531165,"216 Burr St, Houston, TX 77011",285000,None,06/04/2017
165,http://www.har.com/4302-busiek/sale_1700493,"4302 Busiek, Houston, TX 77022",285000,None,06/04/2017
166,http://www.har.com/809-herkimer-st/sale_65261025,"809 Herkimer St, Houston, TX 77007",285000,price-reduction,06/04/2017
167,http://www.har.com/912-graceland-st/sale_27787824,"912 Graceland St, Houston, TX 77009",287500,None,06/04/2017
168,http://www.har.com/1507-laird-st/sale_74744478,"1507 Laird St, Houston, TX 77008",288900,None,06/04/2017
169,http://www.har.com/634-crosstimbers/sale_11026458,"634 Crosstimbers, Houston, TX 77022",289000,None,06/04/2017
170,http://www.har.com/3817-elysian-st/sale_87062634,"3817 Elysian St, Houston, TX 77009",289000,None,06/04/2017
171,http://www.har.com/4827-hardy-st/sale_47003324,"4827 Hardy St, Houston, TX 77009",289900,None,06/04/2017
172,http://www.har.com/1115-hamblen-st/sale_80789465,"1115 Hamblen St, Houston, TX 77009",289999,None,06/04/2017
173,http://www.har.com/1545-birdsall--a/sale_44877404,"1545 Birdsall  A, Houston, TX 77007",290000,None,06/04/2017
174,http://www.har.com/516-tabor-st/sale_88955144,"516 Tabor St, Houston, TX 77009",290900,None,06/04/2017
175,http://www.har.com/650-westcross-st-10/sale_12026240,"650 Westcross St #10, Houston, TX 77018",292500,None,06/04/2017
176,http://www.har.com/4819-hardy-st/sale_99348112,"4819 Hardy St, Houston, TX 77009",292900,None,06/04/2017
177,http://www.har.com/650-westcross-st-2/sale_35602534,"650 Westcross St #2, Houston, TX 77018",294552,None,06/04/2017
178,http://www.har.com/310-s-jensen-drive-1/sale_22877362,"310 S Jensen Drive #1, Houston, TX 77003",294900,price-reduction,06/04/2017
179,http://www.har.com/1206-lamonte-ln/sale_57984674,"1206 Lamonte Ln, Houston, TX 77018",295000,None,06/04/2017
180,http://www.har.com/1421-w-26th-st--f/sale_72574354,"1421 W 26th St  F, Houston, TX 77008",295000,None,06/04/2017
181,http://www.har.com/80-n-hutcheson/sale_30932171,"80 N Hutcheson, Houston, TX 77003",296900,None,06/04/2017
182,http://www.har.com/94-n-hutcheson/sale_53326928,"94 N Hutcheson, Houston, TX 77003",297900,None,06/04/2017
183,http://www.har.com/4439-spencer-st/sale_98609555,"4439 Spencer St, Houston, TX 77007",298500,None,06/04/2017
184,http://www.har.com/1204-e-34th-st/sale_13988446,"1204 E 34th St, Houston, TX 77022",299000,None,06/04/2017
185,http://www.har.com/705-schwartz-street/sale_6108649,"705 Schwartz Street, Houston, TX 77020",299000,None,06/04/2017
186,http://www.har.com/1101-genova-st/sale_89078117,"1101 Genova St, Houston, TX 77009",299000,price-reduction,06/04/2017
187,http://www.har.com/5508-lacy-st/sale_41616550,"5508 Lacy St, Houston, TX 77007",299000,price-reduction,06/04/2017
188,http://www.har.com/929-w-cavalcade-st/sale_54155299,"929 W Cavalcade St, Houston, TX 77009",299000,None,06/04/2017
189,http://www.har.com/5424-san-jose-st/sale_37732416,"5424 San Jose St, Houston, TX 77020",299000,price-reduction,06/04/2017
190,http://www.har.com/1226-lamonte-ln/sale_43868464,"1226 Lamonte Ln, Houston, TX 77018",299000,price-reduction,06/04/2017
191,http://www.har.com/1618-fulton-st/sale_75539602,"1618 Fulton St, Houston, TX 77009",299000,price-reduction,06/04/2017
192,http://www.har.com/709-schwartz-street/sale_61840627,"709 Schwartz Street, Houston, TX 77020",299000,None,06/04/2017
193,http://www.har.com/4802-ella-blvd/sale_34902722,"4802 Ella Blvd, Houston, TX 77018",299000,price-reduction,06/04/2017
194,http://www.har.com/3502-cline-st/sale_74315374,"3502 Cline St, Houston, TX 77020",299500,None,06/04/2017
195,http://www.har.com/730-redwing-place-dr/sale_61012124,"730 Redwing Place Dr, Houston, TX 77009",299500,None,06/04/2017
196,http://www.har.com/120-aurora-st/sale_70109014,"120 Aurora St, Houston, TX 77008",299900,None,06/04/2017
197,http://www.har.com/3013-preston-ave/sale_42933744,"3013 Preston Ave, HOUSTON, TX 77003",299900,None,06/04/2017
198,http://www.har.com/2323-hialeah-dr/sale_67078482,"2323 Hialeah Dr, Houston, TX 77018",299900,None,06/04/2017
199,http://www.har.com/761-33rd/sale_5874334,"761 33rd, Houston, TX 77022",299900,None,06/04/2017
200,http://www.har.com/701-kelley-st/sale_3679848,"701 Kelley St, Houston, TX 77009",299900,None,06/04/2017
201,http://www.har.com/401-walton-st/sale_7723853,"401 Walton St, Houston, TX 77009",299900,price-reduction,06/04/2017
202,http://www.har.com/82-n-hutcheson/sale_10772266,"82 N Hutcheson, Houston, TX 77003",299900,None,06/04/2017
203,http://www.har.com/90-n-hutcheson/sale_46574488,"90 N Hutcheson, Houston, TX 77003",299900,None,06/04/2017
204,http://www.har.com/1809-w-15th-st/sale_40138140,"1809 W 15th St, Houston, TX 77008",300000,None,06/04/2017
205,http://www.har.com/1508-ennis-st/sale_9304762,"1508 Ennis St, Houston, TX 77003",300000,None,06/04/2017
206,http://www.har.com/1707-gano-st/sale_68157449,"1707 Gano St, Houston, TX 77009",300000,None,06/04/2017
207,http://www.har.com/1266-w-18th-st/sale_75781764,"1266 W 18th St, Houston, TX 77008",300000,None,06/04/2017
208,http://www.har.com/1311-enid-st/sale_67964273,"1311 Enid St, Houston, TX 77009",300000,price-reduction,06/04/2017
209,http://www.har.com/6116-hamman-st/sale_79633304,"6116 Hamman St, Houston, TX 77007",300000,None,06/04/2017
210,http://www.har.com/76-n-hutcheson/sale_92819753,"76 N Hutcheson, Houston, TX 77003",302900,None,06/04/2017
211,http://www.har.com/713-schwartz-street/sale_18582837,"713 Schwartz Street, Houston, TX 77020",304000,None,06/04/2017
212,http://www.har.com/703-schwartz-street/sale_38435602,"703 Schwartz Street, Houston, TX 77020",304000,None,06/04/2017
213,http://www.har.com/10-n-hutcheson/sale_76265774,"10 N Hutcheson, Houston, TX 77003",304900,None,06/04/2017
214,http://www.har.com/3542-cline-st/sale_62931043,"3542 Cline St, Houston, TX 77020",304900,price-reduction,06/04/2017
215,http://www.har.com/1714-bevis-st/sale_4337936,"1714 Bevis St, Houston, TX 77008",304900,None,06/04/2017
216,http://www.har.com/205-riley-ln/sale_37941148,"205 Riley Ln, HOUSTON, TX 77003",305000,price-reduction,06/04/2017
217,http://www.har.com/1325-east-st/sale_68418420,"1325 East St, Houston, TX 77007",305000,price-reduction,06/04/2017
218,http://www.har.com/84-n-hutcheson/sale_35813594,"84 N Hutcheson, Houston, TX 77003",307900,None,06/04/2017
219,http://www.har.com/96-n-hutcheson/sale_40446675,"96 N Hutcheson, Houston, TX 77003",307900,None,06/04/2017
220,http://www.har.com/1105-patterson/sale_9173644,"1105 Patterson, Houston, TX 77007",308000,None,06/04/2017
221,http://www.har.com/1112-dart-st/sale_27771478,"1112 Dart St, Houston, TX 77007",309000,None,06/04/2017
222,http://www.har.com/2126-saxon-dr/sale_50237556,"2126 Saxon Dr, Houston, TX 77018",309000,None,06/04/2017
223,http://www.har.com/1136-adele-st/sale_18057203,"1136 Adele St, Houston, TX 77009",309000,None,06/04/2017
224,http://www.har.com/3011-preston-ave/sale_24688954,"3011 Preston Ave, HOUSTON, TX 77003",309900,None,06/04/2017
225,http://www.har.com/74-n-hutcheson/sale_89625445,"74 N Hutcheson, Houston, TX 77003",309900,None,06/04/2017
226,http://www.har.com/911-e-32nd-st/sale_53137395,"911 E 32nd St, Houston, TX 77022",309999,None,06/04/2017
227,http://www.har.com/1711-aden-mist-dr/sale_4960564,"1711 Aden Mist Dr, Houston, TX 77003",310000,None,06/04/2017
228,http://www.har.com/4307-chapman/sale_22180144,"4307 Chapman, Houston, TX 77009",310000,price-reduction,06/04/2017
229,http://www.har.com/1515-summer-st/sale_12597428,"1515 Summer St, Houston, TX 77007",310000,price-reduction,06/04/2017
230,http://www.har.com/899-knox/sale_92734411,"899 Knox, Houston, TX 77007",312500,price-reduction,06/04/2017
